lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,,, 
1,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,,
2,AgriculturalVegetation,55.74,68.8,0.25,0.74,150,150,0,,,,,,,,
3,Pastureland,24.6,0.4,0.4,0.5,150,150,0,,,,,,,,
4,AgriculturalLandWithNaturalVegetation,12.4,15.3,0.25,0.87,150,150,0,,,,,,,,
5,ForestPlantation ,5,1.3,0.8,0.84,150,150,0,,,,,,,,
6,Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
9,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,,
10,TransitionalWoodlandScrub,6,0.1,0.6,0.5,150,150,0,,,,,,,,
11,AgriculturalLandWithNaturalVegetation,12.4,15.3,0.25,0.87,150,150,0,,,,,,,,
12,WaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,,
13,WaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,,
14,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
